Temperature (K),Pressure (MPa),Density (kg/m3),Viscosity (Pa*s),Surf. Tension (N/m)
454.16,1.0263,885.92,0.00014949,0.041965
455.16,1.05,884.84,0.00014863,0.041741
456.16,1.0742,883.76,0.00014777,0.041517
457.16,1.0987,882.68,0.00014692,0.041293
458.16,1.1237,881.59,0.00014608,0.041069
459.16,1.1492,880.49,0.00014526,0.040844
460.16,1.1751,879.39,0.00014444,0.040619
461.16,1.2014,878.29,0.00014363,0.040394
462.16,1.2282,877.18,0.00014283,0.040169
463.16,1.2555,876.06,0.00014203,0.039943
464.16,1.2833,874.95,0.00014125,0.039717
465.16,1.3115,873.82,0.00014048,0.039491
466.16,1.3402,872.69,0.00013971,0.039264
467.16,1.3694,871.56,0.00013895,0.039038
468.16,1.3991,870.42,0.00013821,0.038811
469.16,1.4293,869.27,0.00013746,0.038584
470.16,1.46,868.13,0.00013673,0.038356
471.16,1.4912,866.97,0.00013601,0.038128
472.16,1.523,865.81,0.00013529,0.0379
473.16,1.5553,864.65,0.00013458,0.037672
474.16,1.588,863.48,0.00013387,0.037444
475.16,1.6214,862.3,0.00013318,0.037215
476.16,1.6553,861.12,0.00013249,0.036986
477.16,1.6897,859.93,0.00013181,0.036757
478.16,1.7246,858.74,0.00013113,0.036528
479.16,1.7602,857.55,0.00013047,0.036298
480.16,1.7963,856.34,0.0001298,0.036069
481.16,1.833,855.14,0.00012915,0.035839
482.16,1.8702,853.92,0.0001285,0.035609
483.16,1.9081,852.71,0.00012786,0.035378
484.16,1.9465,851.48,0.00012722,0.035148
485.16,1.9855,850.25,0.00012659,0.034917
486.16,2.0251,849.02,0.00012597,0.034686
487.16,2.0654,847.77,0.00012535,0.034455
488.16,2.1063,846.53,0.00012474,0.034224
489.16,2.1477,845.28,0.00012413,0.033992
490.16,2.1898,844.02,0.00012353,0.03376
491.16,2.2326,842.75,0.00012294,0.033529
492.16,2.276,841.48,0.00012235,0.033296
493.16,2.32,840.21,0.00012176,0.033064
494.16,2.3647,838.92,0.00012118,0.032832
495.16,2.4101,837.64,0.00012061,0.032599
496.16,2.4561,836.34,0.00012004,0.032367
497.16,2.5028,835.04,0.00011947,0.032134
498.16,2.5502,833.73,0.00011892,0.031901
499.16,2.5983,832.42,0.00011836,0.031668
500.16,2.647,831.1,0.00011781,0.031435
501.16,2.6965,829.78,0.00011727,0.031201
502.16,2.7467,828.44,0.00011672,0.030968
503.16,2.7976,827.11,0.00011619,0.030734
504.16,2.8492,825.76,0.00011566,0.0305
505.16,2.9016,824.41,0.00011513,0.030266
506.16,2.9547,823.05,0.0001146,0.030032
507.16,3.0085,821.69,0.00011408,0.029798
508.16,3.0631,820.31,0.00011357,0.029564
509.16,3.1184,818.94,0.00011306,0.02933
510.16,3.1745,817.55,0.00011255,0.029095
511.16,3.2314,816.16,0.00011205,0.028861
512.16,3.2891,814.76,0.00011155,0.028626
513.16,3.3475,813.35,0.00011105,0.028391
514.16,3.4068,811.94,0.00011056,0.028157
515.16,3.4668,810.52,0.00011007,0.027922
516.16,3.5276,809.09,0.00010958,0.027687
517.16,3.5893,807.65,0.0001091,0.027452
518.16,3.6518,806.21,0.00010862,0.027217
519.16,3.7151,804.76,0.00010815,0.026982
520.16,3.7793,803.3,0.00010768,0.026746
521.16,3.8443,801.83,0.00010721,0.026511
522.16,3.9101,800.36,0.00010674,0.026276
523.16,3.9768,798.88,0.00010628,0.026041
524.16,4.0444,797.39,0.00010582,0.025805
525.16,4.1129,795.89,0.00010536,0.02557
526.16,4.1822,794.39,0.00010491,0.025335
527.16,4.2525,792.87,0.00010446,0.025099
528.16,4.3236,791.35,0.00010401,0.024864
529.16,4.3956,789.82,0.00010356,0.024628
530.16,4.4686,788.28,0.00010312,0.024393
531.16,4.5425,786.73,0.00010268,0.024157
532.16,4.6173,785.18,0.00010224,0.023922
533.16,4.693,783.61,0.00010181,0.023687
534.16,4.7697,782.04,0.00010138,0.023451
535.16,4.8474,780.45,0.00010094,0.023216
536.16,4.926,778.86,0.00010052,0.02298
537.16,5.0055,777.26,0.00010009,0.022745
538.16,5.0861,775.65,9.97E-05,0.02251
539.16,5.1676,774.03,9.92E-05,0.022275
540.16,5.2502,772.4,9.88E-05,0.022039
541.16,5.3337,770.75,9.84E-05,0.021804
542.16,5.4183,769.1,9.80E-05,0.021569
543.16,5.5038,767.44,9.76E-05,0.021334
544.16,5.5904,765.77,9.72E-05,0.0211
545.16,5.6781,764.09,9.68E-05,0.020865
546.16,5.7668,762.4,9.64E-05,0.02063
547.16,5.8565,760.7,9.59E-05,0.020396
548.16,5.9473,758.99,9.55E-05,0.020161
549.16,6.0392,757.26,9.51E-05,0.019927
550.16,6.1321,755.53,9.47E-05,0.019692
551.16,6.2262,753.78,9.43E-05,0.019458
552.16,6.3213,752.03,9.39E-05,0.019224
553.16,6.4176,750.26,9.35E-05,0.018991
554.16,6.5149,748.48,9.32E-05,0.018757
555.16,6.6134,746.68,9.28E-05,0.018523
556.16,6.713,744.88,9.24E-05,0.01829
557.16,6.8138,743.06,9.20E-05,0.018057
558.16,6.9157,741.23,9.16E-05,0.017824
559.16,7.0188,739.39,9.12E-05,0.017591
560.16,7.123,737.53,9.08E-05,0.017359
561.16,7.2284,735.66,9.04E-05,0.017126
562.16,7.335,733.78,9.00E-05,0.016894
563.16,7.4429,731.89,8.97E-05,0.016662
564.16,7.5519,729.98,8.93E-05,0.01643
565.16,7.6621,728.05,8.89E-05,0.016199
566.16,7.7736,726.11,8.85E-05,0.015968
567.16,7.8863,724.16,8.81E-05,0.015737
568.16,8.0003,722.19,8.77E-05,0.015506
569.16,8.1155,720.21,8.74E-05,0.015276
570.16,8.232,718.21,8.70E-05,0.015046
571.16,8.3497,716.19,8.66E-05,0.014816
572.16,8.4688,714.16,8.62E-05,0.014586
573.16,8.5891,712.12,8.59E-05,0.014357
574.16,8.7108,710.05,8.55E-05,0.014129
575.16,8.8338,707.97,8.51E-05,0.0139
576.16,8.9581,705.87,8.47E-05,0.013672
577.16,9.0837,703.75,8.43E-05,0.013444
578.16,9.2107,701.62,8.40E-05,0.013217
579.16,9.3391,699.46,8.36E-05,0.01299
580.16,9.4688,697.29,8.32E-05,0.012763
581.16,9.5999,695.1,8.28E-05,0.012537
582.16,9.7325,692.88,8.25E-05,0.012312
583.16,9.8664,690.65,8.21E-05,0.012087
584.16,10.002,688.39,8.17E-05,0.011862
585.16,10.139,686.12,8.13E-05,0.011637
586.16,10.277,683.82,8.10E-05,0.011414
587.16,10.416,681.5,8.06E-05,0.01119
588.16,10.558,679.16,8.02E-05,0.010968
589.16,10.7,676.79,7.98E-05,0.010745
590.16,10.844,674.4,7.94E-05,0.010524
591.16,10.99,671.98,7.91E-05,0.010303
592.16,11.137,669.54,7.87E-05,0.010082
593.16,11.286,667.07,7.83E-05,0.0098622
594.16,11.436,664.57,7.79E-05,0.0096429
595.16,11.588,662.05,7.75E-05,0.0094242
596.16,11.741,659.5,7.72E-05,0.0092062
597.16,11.896,656.91,7.68E-05,0.0089889
598.16,12.053,654.3,7.64E-05,0.0087723
599.16,12.211,651.66,7.60E-05,0.0085564
600.16,12.37,648.98,7.56E-05,0.0083412
601.16,12.532,646.27,7.52E-05,0.0081269
602.16,12.695,643.53,7.48E-05,0.0079133
603.16,12.86,640.75,7.44E-05,0.0077005
604.16,13.026,637.93,7.40E-05,0.0074885
605.16,13.194,635.07,7.36E-05,0.0072775
606.16,13.364,632.17,7.32E-05,0.0070673
607.16,13.536,629.24,7.28E-05,0.006858
608.16,13.709,626.26,7.24E-05,0.0066497
609.16,13.884,623.23,7.20E-05,0.0064423
610.16,14.061,620.16,7.16E-05,0.006236
611.16,14.24,617.04,7.12E-05,0.0060307
612.16,14.42,613.86,7.08E-05,0.0058265
613.16,14.603,610.64,7.03E-05,0.0056235
614.16,14.787,607.35,6.99E-05,0.0054215
615.16,14.973,604.01,6.95E-05,0.0052208
616.16,15.161,600.6,6.90E-05,0.0050213
617.16,15.351,597.13,6.86E-05,0.0048231
618.16,15.542,593.59,6.81E-05,0.0046262
619.16,15.736,589.98,6.77E-05,0.0044307
620.16,15.932,586.28,6.72E-05,0.0042366
621.16,16.13,582.5,6.68E-05,0.004044
622.16,16.33,578.63,6.63E-05,0.003853
623.16,16.531,574.67,6.58E-05,0.0036635
624.16,16.735,570.6,6.53E-05,0.0034757
625.16,16.941,566.41,6.48E-05,0.0032897
626.16,17.15,562.11,6.43E-05,0.0031055
627.16,17.36,557.67,6.38E-05,0.0029233
628.16,17.572,553.09,6.32E-05,0.002743
629.16,17.787,548.36,6.27E-05,0.0025648
630.16,18.004,543.45,6.21E-05,0.0023889
631.16,18.223,538.36,6.15E-05,0.0022152
632.16,18.444,533.06,6.09E-05,0.0020441
633.16,18.668,527.54,6.03E-05,0.0018755
634.16,18.894,521.77,5.97E-05,0.0017097
635.16,19.123,515.72,5.90E-05,0.0015469
636.16,19.354,509.38,5.83E-05,0.0013873
637.16,19.588,502.71,5.76E-05,0.0012311
638.16,19.824,495.67,5.68E-05,0.0010785
639.16,20.063,488.19,5.60E-05,0.00093009
640.16,20.304,480.21,5.52E-05,0.00078611
641.16,20.548,471.58,5.43E-05,0.00064711
642.16,20.796,462.08,5.33E-05,0.00051377
643.16,21.046,451.31,5.23E-05,0.00038699
644.16,21.3,438.5,5.10E-05,0.00026806
645.16,21.557,422.07,4.96E-05,0.00015904
646.16,21.817,398.38,4.78E-05,6.39E-05
